"","CCL21","IGFBP6","MMP7","LOC441763","KRT7","TMEM158","PRKCDBP","MYH11","PPP1R14A","ZIC2","GCUD2","UBA6","MYB","FLJ20273","PTMA","PBK","SLC12A2","SMARCAD1","MAD2L1","KLF5"
"GSM2235614",7.302749,9.130593,12.293412,9.97903,6.882673,10.864522,9.381127,11.265375,8.854266,5.823508,6.613893,8.227832,9.937087,9.427801,10.756074,8.88335,9.416557,8.263005,8.648992,7.594454
"GSM2235615",9.188234,10.608976,9.067726,10.821303,9.756803,11.548665,10.814393,13.145823,10.05134,5.740521,6.666044,8.224102,10.553521,8.988938,9.799294,9.113007,9.52963,8.328824,7.820518,7.796596
"GSM2235616",7.788788,9.215065,14.838502,10.029125,10.846091,11.143345,11.30105,12.176199,8.799319,6.131816,6.974623,8.758227,9.271451,9.178045,10.412278,9.096694,9.846514,7.866031,8.133297,7.857006
"GSM2235618",6.434461,8.640146,11.83485,11.438515,11.488435,11.449656,9.580992,11.105265,9.020125,6.459854,7.311965,8.890564,9.474849,10.887047,10.715332,9.615516,8.724053,8.533452,8.40986,8.469537
"GSM2235620",7.664099,9.911802,12.10559,10.881574,9.639555,11.560707,10.637944,10.872555,9.850523,8.086683,6.8748,8.292725,9.564333,9.766804,10.163651,8.666501,9.017972,8.009021,7.729478,7.989258
"GSM2235623",7.225892,7.72874,12.764006,9.626665,8.481268,10.63165,11.471524,9.926533,8.813075,8.996877,7.906496,9.413155,10.283608,9.833037,10.677205,9.9996,8.279133,8.362421,9.531175,8.760642
"GSM2235624",8.348277,8.461766,13.040997,9.879853,7.00852,11.119649,9.868957,11.012489,8.286284,10.811719,7.645438,8.999082,11.683329,9.166598,10.801265,9.822152,10.549778,7.854761,9.541982,8.818925
"GSM2235625",8.242083,10.652976,13.896073,10.557261,9.944127,11.091936,10.793575,13.973045,10.882502,7.400948,6.347147,8.292725,10.214925,9.132894,10.926469,7.658558,10.964207,8.2645,7.77675,8.999082
"GSM2235627",6.959468,9.65495,11.7273,9.821011,8.092204,11.36595,10.622326,11.186781,8.408755,6.725387,6.968296,9.0197,11.161162,8.445812,9.938808,8.436126,9.230545,7.971363,9.387963,8.407588
"GSM2235628",7.874721,11.071698,12.694627,10.041474,9.911212,12.685504,11.406636,12.313366,9.54001,6.225031,6.99493,8.475002,9.209025,8.724053,10.22603,8.212879,10.332794,8.449658,8.441587,8.315496
"GSM2235629",9.116636,10.155168,11.809742,10.524562,9.003483,12.365958,11.445949,13.245722,9.653317,7.959215,6.849665,8.252935,10.106522,8.512703,9.826725,8.983664,9.400623,7.949405,8.295743,8.273525
"GSM2235631",10.151278,10.608976,10.802083,11.067645,9.144735,11.210597,10.971736,13.587803,10.238602,8.207958,6.209218,8.468314,10.63165,9.296192,10.225343,7.98707,10.809067,8.262674,7.630042,7.928766
"GSM2235632",9.96882,9.857856,9.98265,10.461254,8.546802,11.184574,10.475932,11.914801,8.641776,5.817391,6.773968,8.500777,10.980482,9.20768,10.310842,9.749531,10.211154,8.400665,9.188234,7.853313
"GSM2235633",9.413155,10.286983,13.033355,10.831073,8.522708,10.524562,11.195476,14.229819,10.558763,6.255288,6.144558,8.602734,10.240463,8.578045,10.378699,7.64759,10.19367,8.129191,7.865285,7.809873
"GSM2235634",8.148556,9.608098,11.966157,10.522324,11.327657,11.786146,10.141104,11.316045,8.290073,6.099735,6.633465,8.17725,8.48169,9.975453,11.01349,7.389551,10.005082,8.285536,9.064154,8.59877
"GSM2235635",9.254021,8.486753,9.625623,10.681241,8.983216,10.833665,8.964323,10.077293,10.68043,7.684805,7.396286,8.756571,9.841434,9.855021,10.543677,10.624636,9.709612,8.556878,8.347525,8.940545
"GSM2235636",8.610305,10.601167,12.922126,11.640544,8.730561,11.445949,11.275444,13.944233,10.060611,5.605589,6.065105,8.035519,10.338923,8.879141,9.916563,7.284114,9.648598,8.223742,7.032468,8.126643
"GSM2235637",8.07006,8.166539,13.412452,11.287794,8.309088,10.176871,10.030343,10.960356,8.438887,5.951934,7.621984,8.636591,10.892605,9.164226,9.729699,9.360382,10.396592,8.216913,7.796238,8.059943
"GSM2235697",7.605979,7.750291,10.545252,6.981833,11.063675,10.174859,10.063059,9.711233,8.800122,5.902165,8.522332,9.099384,12.89472,8.315134,9.787366,10.458372,10.38013,8.521547,9.497567,8.678601
"GSM2235699",8.244675,8.596751,12.347658,6.637474,9.753981,12.380057,10.058796,12.430275,9.824434,6.543774,8.06219,9.610686,10.949935,9.16979,9.401679,9.375196,10.178908,8.539765,9.369271,8.640563
"GSM2235700",8.370868,8.25892,11.790886,6.172903,8.614738,11.212768,9.758421,13.609185,9.653317,7.259253,7.642329,9.374701,11.217068,9.813492,10.565696,9.493599,10.788501,8.261915,8.794342,9.288542
"GSM2235703",7.897107,8.255943,12.308817,6.379379,7.498847,11.701926,9.95467,14.198791,10.723632,6.351401,8.230023,9.169348,10.855634,9.579971,10.570993,9.078054,11.133154,8.443095,9.350514,9.408197
"GSM2235704",7.896401,8.762261,13.535618,6.850998,7.260543,10.546026,9.731951,13.951565,10.210518,8.438887,7.537743,8.733441,10.483981,9.475353,10.622326,7.909017,10.678008,8.309842,8.689973,9.546584
"GSM2235706",8.346747,8.318529,10.311515,8.881681,8.784433,10.74264,9.267276,11.680442,9.405169,6.057459,8.034827,9.346033,11.17623,9.647047,11.127863,9.684413,9.802051,8.04749,9.234303,8.949598
"GSM2235708",7.489411,7.682365,10.362511,6.072493,7.809873,10.435341,8.624639,10.791909,9.15445,7.221728,8.844639,9.724271,11.671846,9.858444,11.034082,10.018723,10.776316,8.167683,9.091667,9.686623
"GSM2235709",6.351953,7.381877,11.649164,6.898267,8.165767,10.956527,9.267755,8.722448,9.366276,8.221498,8.637801,9.192009,9.870712,9.866587,10.165592,9.842544,9.683855,8.112866,8.748538,9.057817
"GSM2235710",8.796039,8.117689,13.828958,6.755802,9.475353,10.940541,9.347982,13.288966,10.129791,5.867584,7.359258,9.991757,9.30913,10.068053,10.797835,8.671781,10.158508,8.511894,9.231957,8.505134
"GSM2235718",8.969559,8.570445,8.975208,10.726126,7.375178,10.605895,10.037757,12.447334,8.629026,6.297994,6.983509,8.673368,9.762847,9.951761,9.32595,8.917028,9.885676,8.115467,7.603511,7.89924
"GSM2235719",8.933269,9.433328,12.043832,10.997802,7.363258,11.259863,10.652976,11.177294,8.341441,11.008563,7.701919,9.308206,12.230272,8.629026,9.98329,9.078529,10.197,8.261162,8.166149,8.384123
"GSM2235720",8.620272,9.859041,13.545522,11.105265,10.472922,10.952852,11.163309,10.221422,8.654196,5.676497,8.049363,8.550869,10.443903,8.825051,9.105209,9.041473,9.573217,8.354419,9.718827,7.646524
"GSM2235721",7.917064,10.090252,13.593006,10.843452,10.27419,12.178202,10.896197,10.397299,8.248807,9.866587,7.425087,9.167075,10.581844,9.547104,10.343035,9.509528,9.763399,8.450437,8.784827,8.766795
"GSM2235722",9.512111,9.348503,13.808809,10.942421,9.093457,10.691749,11.768918,12.186153,8.466055,7.978679,6.94084,8.568506,10.13294,8.960375,10.087107,8.607166,9.59888,7.789505,7.567014,9.568505
"GSM2235727",7.797302,8.324152,12.644329,11.245604,8.43301,9.927717,10.475932,10.868932,8.318529,7.114547,6.63952,9.246534,10.439607,10.086479,9.918894,8.384506,9.97667,8.548417,7.762066,8.066262
"GSM2235730",7.674954,7.982662,12.180246,11.310246,8.604729,9.960553,9.585145,10.873419,8.694029,5.896822,8.116227,9.105209,11.319504,9.292371,10.046413,7.904348,9.033568,8.388344,8.531894,8.129925
"GSM2235732",9.427311,9.57893,12.040131,9.640116,8.584015,11.358976,10.639554,12.275864,10.200937,6.810307,8.612735,8.999502,10.880672,9.362848,9.77947,8.767636,9.606385,8.155688,9.008654,8.888428
"GSM2235735",9.079871,8.737901,14.685837,9.29812,10.61763,10.970837,10.165592,9.256462,7.916711,5.743812,8.359397,9.32499,10.806439,9.724812,11.35192,10.175556,9.454643,7.984518,9.571618,9.54452
"GSM2235737",9.118863,8.403309,12.253968,10.164275,7.471944,10.436089,8.957806,10.755244,8.544437,8.527472,7.819118,9.128333,13.17046,9.780068,10.610566,9.021479,9.959956,8.219242,8.193003,8.576857
"GSM2235738",6.404187,8.142549,5.901186,9.964124,6.081917,9.509022,9.597267,11.9063,8.260046,10.209275,8.462527,10.138594,12.368282,10.614403,11.555416,11.059677,11.480545,8.472694,8.869827,9.388943
"GSM2235739",6.976686,8.604729,10.883397,9.770719,11.688998,10.966037,9.967668,8.988035,7.97685,5.931783,8.580032,8.845077,10.682024,9.879853,10.544436,9.97242,9.200251,7.659586,9.045806,9.435328
"GSM2235740",7.165375,8.206446,11.044811,10.581844,10.846091,9.32937,9.395241,10.860089,8.02182,5.819676,7.278981,9.502265,10.863689,11.204261,10.625474,7.897811,9.676865,8.360527,7.385241,9.381616
"GSM2235742",9.404181,9.429824,8.777777,9.689827,11.590262,11.232206,10.260966,9.393755,7.219796,6.441215,8.073013,9.348503,9.230545,9.744507,10.725332,8.377722,9.194712,8.313639,8.467943,8.889719
"GSM2235744",5.955976,8.529076,12.182244,9.178472,10.831073,9.98329,10.851274,10.708908,8.855487,5.947918,6.748451,8.733022,8.696426,10.42236,10.587241,7.423414,10.168925,8.376581,7.383902,8.753329
"GSM2235746",8.414526,8.259294,10.282969,10.520839,6.94735,7.960695,9.948137,10.973678,8.053792,5.846194,6.677108,8.733441,9.691449,10.07238,9.258312,7.906136,10.999754,8.42059,7.581175,7.939902
"GSM2235748",9.995914,9.052973,8.143288,8.631834,8.065879,9.271973,11.205379,13.560847,10.823983,5.796566,8.642593,8.724053,10.704717,6.911653,10.611365,11.090856,10.018117,8.094027,8.11878,9.219259
"GSM2235749",8.025846,8.439283,10.98624,8.107256,10.532181,9.465212,10.246962,8.984951,8.141799,5.884517,9.039228,9.06282,11.512935,9.217871,10.793575,9.581512,10.182067,7.707324,8.218086,9.977829
"GSM2235750",7.441567,8.583588,9.650677,10.248984,10.705531,11.786146,10.013116,12.000082,10.708908,5.842113,7.893852,9.397189,11.606645,9.635744,10.660227,9.012195,9.732504,8.206084,9.162807,9.007782
"GSM2235751",7.404593,7.244755,11.679013,8.223345,6.252894,8.035178,8.218849,9.400623,7.287726,5.710383,7.620627,8.915326,10.89438,9.125648,9.057372,9.965909,7.527416,8.22525,9.214593,7.413014
"GSM2235752",6.228656,7.375859,9.200251,10.459782,8.743975,9.468725,8.744406,10.493003,7.737769,5.825609,7.594796,9.567496,9.256908,11.368384,11.03208,8.611949,9.543544,8.460972,8.800511,9.474335
"GSM2235754",6.908278,9.747304,12.764006,10.699815,10.130459,12.225864,10.669085,10.755244,8.25967,7.489411,7.018858,8.234931,10.330008,9.521465,10.127786,8.510699,9.819833,8.242831,8.618633,9.470737
"GSM2235755",8.812218,10.360396,10.819588,10.166955,9.555986,11.479262,11.241167,14.178852,11.640544,6.76768,6.533787,8.499608,9.959956,9.104773,10.332794,6.928679,9.911802,8.45196,7.209644,8.648586
"GSM2235759",9.266811,11.605196,7.22365,10.529901,8.252193,10.503413,11.662028,13.109625,11.084761,8.151177,7.156371,8.613152,9.390881,9.641707,10.983316,7.848608,10.050762,8.400665,8.006108,8.634183
"GSM2235764",7.926933,7.917849,13.719869,10.071084,11.781459,10.722858,11.336952,8.410257,8.476593,7.015624,7.952758,9.308206,9.852762,9.686623,10.195668,8.104303,8.861479,8.160182,8.396803,9.201162
"GSM2235765",8.056283,10.161124,12.200655,10.769554,10.098414,11.991055,10.987232,11.75816,9.503306,5.572395,7.061438,8.647772,7.950915,9.230545,10.539846,6.384264,8.725629,8.485986,7.03098,9.128333
"GSM2235767",10.049501,11.223559,8.726468,10.340275,8.159448,8.866095,11.534309,14.315948,12.352196,6.146909,6.286448,8.62067,8.770137,7.971749,10.715332,7.431115,10.134216,8.277267,7.280285,7.380882
"GSM2235769",6.878858,8.261162,11.640544,10.308752,8.488338,11.145406,9.672064,9.447546,8.739131,5.876128,8.434585,8.581192,10.746022,9.863625,11.479262,8.167683,9.618158,8.250288,9.717161,9.43585
"GSM2235772",8.375428,9.120681,11.962589,7.02564,9.919495,10.699815,10.187193,13.828958,9.839183,6.455565,9.316778,10.060611,11.19327,10.824874,13.044805,9.415083,11.391147,8.539351,9.493599,11.334638
"GSM2235782",9.085232,9.110728,12.437614,9.120219,12.198561,12.579715,10.652976,8.71267,10.216224,6.964333,7.817337,9.540995,7.469519,8.213962,10.8389,7.914216,7.973557,8.425259,9.054738,7.555918
"GSM2235787",9.192435,10.71693,13.842326,7.055151,9.614427,10.372462,11.434802,12.37763,8.798905,8.280252,8.494958,8.86904,11.496177,9.962937,11.165431,8.632228,11.139172,8.160942,7.633929,9.860757
"GSM2235788",7.334255,8.165767,11.139172,8.013335,6.000996,9.940593,9.444948,9.413155,7.425417,5.779085,8.257052,9.418956,11.382776,9.79705,11.459939,9.326429,9.74058,8.312096,9.965909,9.656603
"GSM2235792",7.114236,9.084319,13.121585,7.672857,11.139172,11.291132,11.601079,12.854374,8.676974,8.518086,8.995542,9.19012,8.926037,11.055674,11.649164,9.854432,10.948019,8.380322,9.537917,10.155168
"GSM2235793",8.850466,9.872446,12.318031,7.006726,8.956508,11.864243,10.849535,14.040739,10.636386,8.734607,8.062546,9.47124,11.356588,9.775584,12.007189,8.81059,11.626343,8.399499,8.809752,9.910065
"GSM2235795",10.784009,9.054738,13.044805,9.737319,10.612145,11.949091,11.150616,9.69586,9.294268,8.919211,8.211332,8.993351,10.284297,9.220672,10.967998,9.769601,10.352713,8.414908,9.584627,8.360918
"GSM2235798",7.75631,8.664505,7.471944,9.579439,10.927417,10.754456,9.067264,8.119887,7.737769,10.385921,8.655764,9.342088,11.895945,10.071752,9.993504,8.704936,9.354883,8.387938,10.105897,9.356421
"GSM2235799",8.278754,9.070385,11.496177,9.518314,6.810585,10.987232,8.525504,9.107504,8.272392,5.91785,8.134795,9.052973,9.930641,10.016239,11.254394,8.392157,10.557985,8.522332,9.837466,8.101381
"GSM2235813",8.32567,7.499525,13.033355,6.274237,5.693022,9.744507,8.663748,10.915245,8.171347,7.975388,7.409349,8.942685,11.000781,9.141063,9.496066,8.969559,10.185302,8.525504,8.584804,8.400266
"GSM2235814",10.123397,9.165697,13.105602,6.0584,10.189129,11.038914,10.125271,12.271415,9.091667,5.832847,7.775662,8.48406,10.054445,9.735732,10.591915,9.234303,10.333496,7.983401,9.792403,8.657376
"GSM2235816",10.222754,8.71306,13.052386,10.157832,10.886154,10.953778,9.784555,12.342963,8.696821,6.543195,8.140326,9.570086,9.73838,10.313573,11.860807,8.627446,10.600413,8.291586,8.823383,9.27998
"GSM2235818",7.050987,8.5,13.05617,10.321745,12.192325,10.161124,9.903713,11.859173,8.415286,8.229684,8.216913,9.937087,10.11277,10.102226,11.790886,9.587277,9.404181,8.310209,10.011288,9.194712
"GSM2235819",7.506106,9.736251,13.315495,10.809938,11.024193,10.580316,10.150024,11.814477,8.999082,10.3653,8.498444,8.952172,10.966998,9.153499,11.724162,8.212091,9.690923,8.035519,10.573427,7.967655
"GSM2235823",10.299189,10.127786,12.602179,11.181484,8.584804,10.169581,10.776316,14.048571,10.277561,8.752498,6.956867,8.784827,10.469299,9.505946,11.681896,7.07706,11.56206,8.224885,7.425417,8.381081
"GSM2235824",9.970599,10.036499,13.094025,10.655385,9.494569,9.762847,11.210597,14.304574,11.048769,5.903933,6.660525,8.729356,9.274285,9.690378,11.364723,7.031902,10.598114,8.531479,7.042366,8.67098
"GSM2235826",9.762847,9.922439,14.017934,11.58886,10.226657,11.267526,10.518539,9.864233,8.558479,7.348047,9.279509,9.852762,10.534516,8.442728,12.21536,8.798905,8.770571,8.277267,10.753636,8.838398
"GSM2235827",9.433328,9.897329,12.915276,11.443465,9.340673,10.630164,11.097043,14.240314,11.776727,5.902693,6.968296,9.159534,9.947574,9.80779,11.476639,7.168216,10.719477,8.222258,7.993942,8.941413
"GSM2235831",7.258931,7.642329,14.475015,6.794904,9.192435,9.119316,9.252622,11.606645,8.389873,6.865241,8.686685,9.715564,9.280951,10.899832,12.345288,8.291991,10.802083,8.159086,8.638195,11.058704
"GSM2235838",8.75904,9.785665,10.318246,5.947312,11.681896,10.908013,10.388002,13.494674,10.458372,5.962895,8.442728,9.257395,11.017322,9.325501,11.992899,8.914464,10.46492,8.007153,7.7803,9.972987
"GSM2235840",8.449266,8.030533,12.098118,6.83658,6.636167,11.221351,10.316229,8.109877,7.769209,6.680437,10.898861,8.880022,11.441035,9.699168,11.407905,9.877609,9.92887,8.488338,11.145406,9.692032
"GSM2235841",6.710916,9.258775,12.558346,6.096323,10.016239,11.219208,9.506993,11.181484,8.681836,8.868165,8.892653,8.523931,10.002601,10.429484,11.971301,8.616648,11.660542,8.376207,9.425868,10.682871
"GSM2235843",8.594333,8.536225,13.374968,6.049699,10.393769,11.01349,10.363182,11.381588,8.489096,8.234572,8.334584,8.832528,9.899703,10.047702,11.597023,8.856807,10.907087,8.331106,9.639555,10.607432
"GSM2235846",6.899697,7.367246,10.290437,6.139575,7.983785,10.000771,9.364818,9.280461,9.829049,6.141062,7.807328,9.068605,6.795679,11.509059,10.690188,7.310959,9.761176,8.095508,8.523137,10.304872
"GSM2235849",8.895166,10.25826,11.373072,11.065737,11.851193,9.790135,10.987232,11.798696,8.35518,8.09365,7.653602,9.0197,9.18917,10.270205,11.63639,7.713225,9.851652,8.422505,8.994216,8.207225
"GSM2235850",10.268925,10.029125,10.40733,10.971736,10.099701,10.692585,10.321745,12.950763,9.425373,7.082768,6.910284,8.692032,8.831723,10.689384,11.325381,7.725605,10.621595,8.485605,8.424022,8.731409
"GSM2235855",9.386532,8.299199,12.295673,11.02328,7.305955,10.073556,8.844639,11.564762,7.89924,5.807437,7.677426,8.993785,9.271973,10.295201,11.943808,7.855896,9.804374,8.399886,9.135637,7.88265
"GSM2235863",7.711816,10.396592,13.010299,9.786228,9.45013,9.74506,10.899832,13.719869,9.830753,7.783479,6.955694,8.86943,9.717161,9.163278,11.356588,7.397286,10.901643,7.967655,8.226739,10.323791
"GSM2235864",8.261537,9.874743,14.405477,8.977417,10.76027,10.45181,11.830124,13.125463,9.284769,7.440201,7.982662,8.618228,9.95644,9.86837,11.096015,8.210216,10.090252,8.084064,8.698837,10.316229
"GSM2235865",7.011771,9.26632,13.855649,9.571103,10.889785,10.678008,9.652266,10.467066,8.919211,5.983446,8.748138,9.180292,10.284989,10.022988,11.270862,9.79982,8.60753,7.985235,10.287674,9.987507
